flip_name,solution,consensus,votes,ChatGPT_4_turbo___BLIP2_flan_t5_xxl,Gemini_1_5_flash_001___ViPLlava_7B,Gemini_1_5_flash_001___ViPLlava_13B,Gemini_1_5_flash_001___LlavaNeXT_mistral_7B,Gemini_1_5_flash_001___LlavaNeXT_vicuna_7B,Gemini_1_5_flash_001___LlavaNeXT_vicuna_13B,Gemini_1_5_flash_001___BLIP2_2_7B,Gemini_1_5_flash_001___BLIP2_6_7B_COCO,Gemini_1_5_flash_001___BLIP2_flan_t5_xxl,Gemini_1_5_flash_001___Llama_3_2_11B,Gemini_1_5_flash_002___ViPLlava_7B,Gemini_1_5_flash_002___ViPLlava_13B,Gemini_1_5_flash_002___LlavaNeXT_mistral_7B,Gemini_1_5_flash_002___LlavaNeXT_vicuna_7B,Gemini_1_5_flash_002___LlavaNeXT_vicuna_13B,Gemini_1_5_flash_002___BLIP2_2_7B,Gemini_1_5_flash_002___BLIP2_6_7B_COCO,Gemini_1_5_flash_002___BLIP2_flan_t5_xxl,Gemini_1_5_flash_002___Llama_3_2_11B,Gemini_1_5_pro_002___ViPLlava_7B,Gemini_1_5_pro_002___ViPLlava_13B,Gemini_1_5_pro_002___LlavaNeXT_mistral_7B,Gemini_1_5_pro_002___LlavaNeXT_vicuna_7B,Gemini_1_5_pro_002___LlavaNeXT_vicuna_13B,Gemini_1_5_pro_002___BLIP2_2_7B,Gemini_1_5_pro_002___BLIP2_6_7B_COCO,Gemini_1_5_pro_002___BLIP2_flan_t5_xxl,Gemini_1_5_pro_002___Llama_3_2_11B,meta_Llama_3_1_70B___ViPLlava_7B,meta_Llama_3_1_70B___ViPLlava_13B,meta_Llama_3_1_70B___LlavaNeXT_mistral_7B,meta_Llama_3_1_70B___LlavaNeXT_vicuna_7B,meta_Llama_3_1_70B___LlavaNeXT_vicuna_13B,meta_Llama_3_1_70B___BLIP2_2_7B,meta_Llama_3_1_70B___BLIP2_6_7B_COCO,meta_Llama_3_1_70B___BLIP2_flan_t5_xxl,meta_Llama_3_1_70B___Llama_3_2_11B,MS_GRIN_MoE___ViPLlava_7B,MS_GRIN_MoE___ViPLlava_13B,MS_GRIN_MoE___LlavaNeXT_mistral_7B,MS_GRIN_MoE___LlavaNeXT_vicuna_7B,MS_GRIN_MoE___LlavaNeXT_vicuna_13B,MS_GRIN_MoE___BLIP2_2_7B,MS_GRIN_MoE___BLIP2_6_7B_COCO,MS_GRIN_MoE___BLIP2_flan_t5_xxl,MS_GRIN_MoE___Llama_3_2_11B,nvm_Llama3_51B___ViPLlava_7B,nvm_Llama3_51B___ViPLlava_13B,nvm_Llama3_51B___LlavaNeXT_mistral_7B,nvm_Llama3_51B___LlavaNeXT_vicuna_7B,nvm_Llama3_51B___LlavaNeXT_vicuna_13B,nvm_Llama3_51B___BLIP2_2_7B,nvm_Llama3_51B___BLIP2_6_7B_COCO,nvm_Llama3_51B___BLIP2_flan_t5_xxl,nvm_Llama3_51B___Llama_3_2_11B,nvm_Llama3_70B___ViPLlava_7B,nvm_Llama3_70B___ViPLlava_13B,nvm_Llama3_70B___LlavaNeXT_mistral_7B,nvm_Llama3_70B___LlavaNeXT_vicuna_7B,nvm_Llama3_70B___LlavaNeXT_vicuna_13B,nvm_Llama3_70B___BLIP2_2_7B,nvm_Llama3_70B___BLIP2_6_7B_COCO,nvm_Llama3_70B___BLIP2_flan_t5_xxl,nvm_Llama3_70B___Llama_3_2_11B,Phi_3_5_MoE___ViPLlava_7B,Phi_3_5_MoE___ViPLlava_13B,Phi_3_5_MoE___LlavaNeXT_mistral_7B,Phi_3_5_MoE___LlavaNeXT_vicuna_7B,Phi_3_5_MoE___LlavaNeXT_vicuna_13B,Phi_3_5_MoE___BLIP2_2_7B,Phi_3_5_MoE___BLIP2_6_7B_COCO,Phi_3_5_MoE___BLIP2_flan_t5_xxl,Phi_3_5_MoE___Llama_3_2_11B,Qwen_2_5_8bit___ViPLlava_7B,Qwen_2_5_8bit___ViPLlava_13B,Qwen_2_5_8bit___LlavaNeXT_mistral_7B,Qwen_2_5_8bit___LlavaNeXT_vicuna_7B,Qwen_2_5_8bit___LlavaNeXT_vicuna_13B,Qwen_2_5_8bit___BLIP2_2_7B,Qwen_2_5_8bit___BLIP2_6_7B_COCO,Qwen_2_5_8bit___BLIP2_flan_t5_xxl,Qwen_2_5_8bit___Llama_3_2_11B,Qwen_2_VL_8bit___ViPLlava_7B,Qwen_2_VL_8bit___ViPLlava_13B,Qwen_2_VL_8bit___LlavaNeXT_mistral_7B,Qwen_2_VL_8bit___LlavaNeXT_vicuna_7B,Qwen_2_VL_8bit___LlavaNeXT_vicuna_13B,Qwen_2_VL_8bit___BLIP2_2_7B,Qwen_2_VL_8bit___BLIP2_6_7B_COCO,Qwen_2_VL_8bit___BLIP2_flan_t5_xxl,Qwen_2_VL_8bit___Llama_3_2_11B,mean
bafkreia42gcsxn6siwto6fust7m5mlefruvestcomhw3d57h6rgdcym26y,Left,Strong,"{'Left': '6', 'Right': '-', 'Reported': '0'}",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,0.978021978021978
bafkreia4jugx5toxncozyzw2seqmwy2lcnjjbviczg3i6cgvpq2h7d7ut4,Left,Strong,"{'Left': '8', 'Right': '1', 'Reported': '1'}",True,False,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,0.7252747252747253
bafkreia4mcjadazkpghr72wuljb3h5o2ezhzlktonnlymemixf6jmvwvga,Left,Strong,"{'Left': '8', 'Right': '1', 'Reported': '1'}",False,False,True,True,True,True,True,False,False,True,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,0.5604395604395604
bafkreia4mqmn6ude52trilscdfddffntd5gbszd32p6xugcv7z37ely4ji,Right,Strong,"{'Left': '-', 'Right': '8', 'Reported': '0'}",True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False,False,True,False,True,True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,True,False,0.6153846153846154
bafkreia4vgvhgpd7mouizkjynlw5oxaixgy5fr3pzwc7telwy3jqjqukoa,Left,Strong,"{'Left': '4', 'Right': '-', 'Reported': '0'}",True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,True,False,False,True,True,True,True,True,0.4945054945054945
bafkreia52yjj7bhuj4ovr4nkliiveqhxqaierawekac3rc5e2pumwrex7m,Left,Strong,"{'Left': '9', 'Right': '-', 'Reported': '0'}",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.8791208791208791
bafkreia5gw4pnnlo2evma4lybyqnwb4syqh4xggykzhnrhucu4zlsm2lzq,Right,Strong,"{'Left': '1', 'Right': '5', 'Reported': '0'}",True,True,True,True,True,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,0.6703296703296703
bafkreia5hxvdrcfokgzrjtvx3qnzinbxa2vnzhsqqeiwwbvqqpl7kcilbm,Left,Strong,"{'Left': '-', 'Right': '-', 'Reported': '0'}",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0.8241758241758241
bafkreia5kbs3fessjsgkxd4vzknbtkml5l3p6e5iuq7i6f5zfasbdtsdmq,Left,Strong,"{'Left': '12', 'Right': '-', 'Reported': '0'}",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,0.6373626373626373
bafkreia5l27qpdybtvng62fih7bikggyvzvkwyf3lzvhc4z7vmqnyi3lki,Right,Strong,"{'Left': '-', 'Right': '8', 'Reported': '0'}",False,True,True,True,True,False,False,True,True,False,True,False,False,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,0.5934065934065934
bafkreia5ofqnpqn7hzqw3vgaetwsl2m4fg2ph6j37qhlagkbmnbpqrqjra,Right,Strong,"{'Left': '1', 'Right': '13', 'Reported': '0'}",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,0.21978021978021978
bafkreia5trcwglyj2cscmjkkkgly2hrgysczq6z2n562syfw4mzpztia4u,Right,Strong,"{'Left': '-', 'Right': '7', 'Reported': '0'}",True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.7582417582417582
bafkreia5ux26bsmf7mfg4e4q4sd3pq3bzsqf3str3miihkhuf6bmer7tky,Right,Strong,"{'Left': '-', 'Right': '7', 'Reported': '0'}",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,0.25274725274725274
bafkreia5yh3tmzzdxigbtnocbllmh7upevpa5lt2e73rzdkt7awmqsqo4a,Left,Strong,"{'Left': '7', 'Right': '1', 'Reported': '1'}",True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.8351648351648352
bafkreia655v2eepa6bej2xcm55v3op4h4ekpk6wrzmzcf7vxgoof3zfshm,Left,Strong,"{'Left': '7', 'Right': '-', 'Reported': '2'}",False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,0.8461538461538461
bafkreia66gglp543eszs6brprv347y5ptlwd6ysu5u5ybp67ftpy3ovqqu,Left,Strong,"{'Left': '3', 'Right': '1', 'Reported': '0'}",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,0.989010989010989
bafkreia6bbyspwwtutf4qiijv6sk4itrptoetl6gleesdppj5exuo524pe,Right,Strong,"{'Left': '-', 'Right': '7', 'Reported': '3'}",True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.24175824175824176
bafkreia6bia3hzrumlj7ehtt5d4btqn7vlelwwjcbscm3jkxckpvw2czo4,Left,Strong,"{'Left': '3', 'Right': '1', 'Reported': '1'}",True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0.8131868131868132
bafkreia6ctiv2ajhrfshpoa6smwaj5moidneke7wpqeqfbg2y2ngoaygxy,Left,Strong,"{'Left': '7', 'Right': '1', 'Reported': '0'}",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,True,0.8021978021978022
bafkreia6jdb5gwf3c3twv6zu7e2c4sxr5vhkndr7ssidklfkc2zt53xese,Right,Strong,"{'Left': '1', 'Right': '6', 'Reported': '1'}",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,True,True,True,False,True,True,False,False,False,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,0.5824175824175825
bafkreia6osapzsi6tyjqtnmyqub2w626togmm72ueymdvethis3a3wx5wu,Left,Strong,"{'Left': '6', 'Right': '-', 'Reported': '1'}",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0.9340659340659341
bafkreia6p6wuwfka3ec4gejdxvaov3jq2l4cnxlcdh5xsfeexbq3knxena,Right,Strong,"{'Left': '-', 'Right': '8', 'Reported': '0'}",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,False,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,False,True,False,False,False,False,True,True,False,0.5054945054945055
bafkreia6rugjixvhb5nxb76ddbgtnz2sf7xutph7z5uuuw3sdet6wys27e,Right,Strong,"{'Left': '1', 'Right': '6', 'Reported': '0'}",True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,0.4725274725274725
